id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,336,627,7,-7.463,1,384,164,0.0,708,0.35,150.273,4
06qMRF18gwbOYYbnP2du6i,Last Christmas - Single Version,Wham!,733,598,2,-8.228,1,278,212,3.71e-06,156,935,107.732,4
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,Brenda Lee,589,472,8,-8.749,1,502,614,0.0,505,898,67.196,4
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,0.75,733,6,-3.18,0,319,256,0.0,114,844,111.018,1
6p1GHnHSJSma1orNgP7NoE,Jingle Bell Rock,Bobby Helms,725,368,2,-10.657,1,411,967,0.0,74,0.7,119.438,4
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,552,702,9,-5.707,1,157,117,2.06e-05,105,564,169.994,4
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,504,308,9,-14.958,1,321,868,135,158,121,113.95,4
0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,Ariana Grande,525,621,7,-7.364,1,116,489,0.0,294,591,191.9,4
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,943,558,2,-4.911,1,568,26,2.19e-06,937,606,104.983,4
1rv46mRwDqMEhOBZ7vODg3,It's Beginning to Look a Lot like Christmas,Michael Bublé,331,223,4,-11.274,1,338,0.88,5.92e-06,343,355,92.896,3
1IcR6RlgvDczfvoWJSSY2A,It's the Most Wonderful Time of the Year,Andy Williams,234,526,2,-11.656,1,411,871,2.34e-06,122,649,201.739,3
2uFaJJtFpPDc5Pa95XzTvg,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,451,0.24,1,-14.014,1,351,912,2.45e-06,175,701,134.009,4
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",0.79,831,11,-4.185,1,44,312,0.0,797,872,124.987,4
3CWq0pAKKTWb0K4yiglDc4,You’re Losing Me (From The Vault),Taylor Swift,747,391,0,-13.767,1,52,529,3,111,195,102.984,4
7uoFMmxln0GPXQ0AcCBXRq,Snowman,Sia,716,512,1,-6.257,1,331,483,0.0,928,326,104.957,3
2HafqoJbgXdtjwCOvNEF14,Si No Estás,iñigo quintero,537,421,5,-8.72,1,285,827,0.0,138,524,98.224,4
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,Doja Cat,864,556,2,-7.683,0,194,255,3.85e-06,112,726,99.974,4
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,711,809,2,-4.389,0,955,447,0.0,339,816,106.017,4
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,"Bad Bunny, Feid",911,778,5,-2.248,1,262,887,2.16e-05,179,345,96.057,4
3nAp4IvdMPPWEH9uuXFFV5,Underneath the Tree,Kelly Clarkson,509,812,8,-5.438,1,537,13,1.99e-05,214,689,159.876,4
5RqSsdzTNPX1uzkmlHCFvK,QLONA,"KAROL G, Peso Pluma",841,738,7,-7.455,0,307,0.52,0.0,892,484,169.918,4
6tjituizSxwSmBB5vtgHZE,Holly Jolly Christmas,Michael Bublé,647,465,7,-8.308,1,428,865,0.0,882,699,151.251,4
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,628,523,11,-8.307,0,946,701,274,219,416,169.982,4
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,464,417,0,-9.345,0,256,136,22,974,479,67.528,4
3qCeq0rWK67SoBDgFd2sId,Feliz Navidad,José Feliciano,514,818,2,-9.642,1,451,406,1.93e-06,299,967,148.733,4
6CvTEtGagmzQvkUzzyKR9k,HARLEY QUINN,"Fuerza Regida, Marshmello",815,741,1,-6.04,1,569,277,183,219,591,125.031,4
6uIIdjYTxxpWOyWuVXrKQO,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",808,944,10,-4.863,0,408,183,1.11e-06,138,937,124.934,3
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",522,641,8,-6.287,1,318,545,0.0,162,202,87.51,4
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,673,722,3,-3.495,0,755,856,0.0,137,519,117.187,4
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,644,735,8,-5.747,1,391,521,144,161,418,88.98,4
4MjDJD8cW7iVeWInc2Bdyj,MONACO,Bad Bunny,787,621,4,-5.009,0,68,0.15,402,0.58,0.13,139.056,4
7xapw9Oy21WpfEcib2ErSA,Mistletoe,Justin Bieber,657,0.56,6,-9.049,0,467,498,0.0,794,854,161.993,4
5PyDJG7SQRgWXefgexqIge,Agora Hills,Doja Cat,755,687,8,-6.247,0,101,183,177,125,381,123.01,4
7fUYUcWy853HS8YJn0b3Sr,Sleigh Ride,The Ronettes,529,772,2,-7.013,1,287,403,2.21e-06,316,853,91.751,4
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,662,488,9,-6.894,1,682,782,0.0,102,817,117.913,4
4bw8mcDUSRWfQo63ZTYRnU,Según Quién,"Maluma, Carin Leon",909,762,9,-3.974,1,643,434,0.0,856,843,101.987,3
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,511,532,5,-5.745,1,578,177,0.0,291,0.35,138.005,4
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",679,587,7,-7.015,1,276,141,6.35e-06,137,486,186.003,4
1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,508,0.43,2,-9.475,0,335,0.83,441,93,324,130.09,4
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,0.52,731,6,-5.338,0,557,342,101,311,662,173.93,4
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,596,658,0,-7.346,1,36,504,0.0,127,176,100.012,4
7ABLbnD53cQK00mhcaOUVG,LALA,Myke Towers,708,737,1,-4.045,1,436,739,162,955,607,91.986,4
2TE4xW3ImvpltVU0cPcKUn,Merry Christmas Everyone,Shakin' Stevens,534,904,9,-3.315,1,369,129,0.0,128,0.96,202.899,4
4OMJGnvZfDvsePyCwRGO7X,Houdini,Dua Lipa,744,789,9,-4.876,0,59,36,144,947,866,116.985,4
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,357,425,5,-7.301,1,333,584,0.0,322,0.27,102.078,3
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,544,369,2,-9.514,1,38,969,279,639,102,87.01,3
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,706,691,0,-4.775,1,633,584,6.99e-05,232,632,118.048,4
01qFKNWq73UfEslI0GvumE,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",853,824,1,-3.287,1,103,322,0.0,859,888,108.044,4
7mXuWTczZNxG5EDcjFEuJR,LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",646,736,5,-7.118,0,449,216,0.0,415,873,140.098,3
4ApCig0GTR4IEp7Ijsyo3r,Arjan Vailly,"Manan Bhardwaj, Bhupinder Babbal",532,825,3,-3.239,0,798,241,0.0,0.31,878,75.723,4
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,612,807,10,-2.81,1,336,495,177,101,398,124.053,4
27RYrbL6S02LNVhDWVl38b,Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",321,0.64,2,-10.023,1,324,0.28,0.0,718,414,146.172,3
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,586,525,1,-7.163,0,615,111,0.0,134,508,133.629,4
17cia5k4BpGVlyEfqrFH50,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,518,368,11,-7.76,0,353,855,4.9e-06,119,234,141.934,4
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,847,622,1,-6.747,0,903,119,0.0,285,0.22,130.001,4
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,637,643,4,-6.571,1,519,0.13,1.8e-06,142,533,97.008,4
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,444,911,0,-17.665,1,307,959,1.05e-06,98,142,78.403,4
6XbtvPmIpyCbjuT0e8cQtp,Columbia,Quevedo,668,712,5,-5.927,1,381,369,2.13e-05,108,264,100.02,4
77khP2fIVhSW23NwxrRluh,,,683,375,0,-13.056,1,303,579,0.0,76,888,140.467,4
4kKdvXD0ez7jp1296JmAts,A Holly Jolly Christmas,Burl Ives,652,259,2,-13.336,1,595,903,0.0,362,836,142.169,4
4KULAymBBJcPRpk1yO4dOG,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet",429,453,0,-7.746,1,459,554,"2,00E-06",102,155,77.639,4
7jtQIBanIiJOMS6RyCx6jZ,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",442,538,4,-8.55,0,451,717,2.95e-05,0.09,139,122.758,4
59NraMJsLaMCVtwXTSia8i,Another Love,Tom Odell,638,717,8,-5.804,1,375,1,1.79e-06,113,422,141.904,4
1udwFobQ1JoOdWPQrp2b6u,Prada,"cassö, RAYE, D-Block Europe",575,0.56,5,-7.302,1,478,173,0.0,257,471,75.956,4
4PS1e8f2LvuTFgUs1Cn3ON,Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",319,0.21,1,-15.231,1,341,0.92,8.06e-05,138,209,78.696,4
2YSzYUF3jWqb9YP9VXmpjE,The Christmas Song (Merry Christmas To You),Nat King Cole,663,0.67,8,-8.399,1,271,464,8.92e-05,205,138,136.952,4
27qAMKrDdKEs8HDXcvR24R,IDGAF (feat. Yeat),"Drake, Yeat",513,583,9,-10.863,1,38,355,1.96e-05,0.18,866,180.183,4
1vYXt7VSjH9JIM5oRRo7vA,Driving Home for Christmas - 2019 Remaster,Chris Rea,671,845,11,-4.93,0,48,207,0.0,329,775,110.056,4
1SV1fxF65n9NhRHp3KlBuu,Dance The Night - From Barbie The Album,Dua Lipa,774,511,11,-8.914,1,319,322,0.0,672,771,94.736,4
2dHHgzDwk4BJdRwy9uXhTO,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,715,0.62,1,-6.005,0,484,417,0.0,822,172,97.95,4
2N0SPREDYqILVEFSsWF5N5,Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",633,607,0,-6.182,0,532,183,1.38e-06,167,363,74.029,4
7lQ8MOhq6IN2w8EYcFNSUk,Love Me Again,V,908,669,7,-2.827,1,738,286,0.0,237,662,112.238,4
0O3U5iwTbiXCREMkvotJuN,Without Me,Eminem,616,834,9,-3.069,1,664,0.06,0.0,338,746,151.701,4
1hZsWUnLbqRw09jLAMQSsb,EL AMOR DE SU VIDA,"Grupo Frontera, Grupo Firme",858,665,11,-4.772,1,152,126,0.0,119,659,100.09,4
1dGr1c8CrMLDpV6mPbImSI,CLASSY 101,"Feid, Young Miko",359,543,7,-7.582,1,919,492,1.58e-05,118,453,68.534,4
3yfqSUWxFvZELEM4PmlwIR,Lover,Taylor Swift,949,661,5,-4.244,0,572,302,0.0,454,0.76,104.504,4
0VjIjW4GlUZAMYd2vXMi3b,The Real Slim Shady,Eminem,514,0.73,1,-5.934,1,598,146,9.54e-05,897,334,171.005,4
0HD8mbiPjp3o94X3EaZp0o,Blinding Lights,The Weeknd,838,569,5,-6.324,0,621,152,136,102,551,136.965,4
3xKsf9qdS1CyvXSMEid6g8,exes,Tate McRae,545,545,9,-7.362,1,107,667,5.48e-05,417,549,159.94,3
4so0Wek9Ig1p6CRCHuINwW,Pink + White,Frank Ocean,317,158,9,-16.485,1,381,673,353,338,247,130.503,3
2pXpURmn6zC5ZYDMms6fwa,White Christmas - 1947 Version,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",724,276,7,-12.25,1,599,0.76,0.0,116,718,112.874,4
3AJwUDP919kvQ9QcozQPxg,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",429,661,11,-7.227,1,281,239,121,234,285,173.372,4
0RiRZpuVRbi7oqRdSMwhQY,Yellow,Coldplay,755,522,2,-4.368,1,575,533,0.0,685,925,89.96,4
7KA4W4McWYRpgf0fWsJZWB,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",558,559,6,-9.222,1,959,371,7.49e-06,109,0.62,78.558,4
4Yg2w0P29BBBMixyeNjDtj,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",598,643,0,-6.933,1,364,164,3.35e-05,992,349,115.41,4
25OeKzcqakFPaJlXHPE5lm,Do They Know It's Christmas? - 1984 Version,Band Aid,535,395,10,-7.805,1,634,597,6.78e-05,969,488,157.795,3
1s7oOCT8vauUh01PbJD6ps,Primera Cita,Carin Leon,799,802,11,-5.196,1,371,429,128,171,811,107.008,4
4uUG5RXrOk84mYEfFvj3cK,Calm Down (with Selena Gomez),"Rema, Selena Gomez",561,965,7,-3.673,0,343,383,7.07e-06,371,304,128.04,4
3qQbCzHBycnDpGskqOWY0E,I'm Good (Blue),"David Guetta, Bebe Rexha",668,758,5,-5.176,0,332,483,1.89e-05,837,834,147.989,3
561jH07mF1jHuk7KlaeF0s,Ella Baila Sola,"Eslabon Armado, Peso Pluma",637,678,0,-3.798,1,266,209,0.0,156,254,84.039,4
7qEHsqek33rTcFNT9PFqLf,Mockingbird,Eminem,501,405,1,-5.679,1,319,751,0.0,105,446,109.891,4
5XVdHRf4CAJ2Jm0uMIy5qY,Someone You Loved,Lewis Capaldi,778,835,11,-3.598,0,767,152,0.0,109,666,140.082,4
4R2kfaDFhslZEMJqAFNpdd,La Víctima,Xavi,613,581,0,-8.588,0,424,537,345,0.25,551,130.033,4
7FIWs0pqAYbP91WWM0vlTQ,cardigan,Taylor Swift,808,745,10,-5.26,0,342,145,0.0,292,829,165.995,4
2yzshFeBIwH8tWIqHEFLeD,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",571,0.72,9,-4.089,1,458,213,0.0,271,542,83.827,4
